month,comments,hn_total_comments,comments_per_10k,object_id,created_at,title,url
2013-05,437,132492,32.98,5637663,2013-05-01T13:17:08Z,Ask HN: Who is hiring? (May 2013),https://news.ycombinator.com/item?id=5637663
2013-06,362,131644,27.5,5803764,2013-06-01T12:58:58Z,Ask HN: Who is hiring? (June 2013),https://news.ycombinator.com/item?id=5803764
2013-07,367,137067,26.78,5970187,2013-07-01T12:43:19Z,Ask HN: Who is hiring? (July 2013),https://news.ycombinator.com/item?id=5970187
2013-09,374,133566,28.0,6310234,2013-09-01T13:21:20Z,Ask HN: Who is hiring? (September 2013),https://news.ycombinator.com/item?id=6310234
2013-11,389,140746,27.64,6653437,2013-11-01T13:18:22Z,Ask HN: Who is hiring? (November 2013),https://news.ycombinator.com/item?id=6653437
2013-12,321,136466,23.52,6827554,2013-12-01T15:21:51Z,Ask HN: Who is hiring? (December 2013),https://news.ycombinator.com/item?id=6827554
2014-01,287,133424,21.51,6995020,2014-01-01T14:18:19Z,Ask HN: Who is hiring? (January 2014),https://news.ycombinator.com/item?id=6995020
2014-02,381,130408,29.22,7162197,2014-02-01T17:11:57Z,Ask HN: Who is hiring? (February 2014),https://news.ycombinator.com/item?id=7162197
2014-03,429,147411,29.1,7324236,2014-03-01T14:11:20Z,Ask HN: Who is hiring? (March 2014),https://news.ycombinator.com/item?id=7324236
2014-04,527,138817,37.96,7507765,2014-04-01T13:08:47Z,Ask HN: Who is hiring? (April 2014),https://news.ycombinator.com/item?id=7507765
2014-05,491,119544,41.07,7679431,2014-05-01T13:02:41Z,Ask HN: Who is hiring? (May 2014),https://news.ycombinator.com/item?id=7679431
2014-06,422,111449,37.86,7829042,2014-06-01T13:16:32Z,Ask HN: Who is hiring? (June 2014),https://news.ycombinator.com/item?id=7829042
2014-07,492,118370,41.56,7970366,2014-07-01T13:10:47Z,Ask HN: Who is hiring? (July 2014),https://news.ycombinator.com/item?id=7970366
2014-08,584,105306,55.46,8120070,2014-08-01T14:44:51Z,Ask HN: Who is hiring? (August 2014),https://news.ycombinator.com/item?id=8120070
2014-09,324,111675,29.01,8252715,2014-09-01T13:32:54Z,Ask HN: Who is hiring? (September 2014),https://news.ycombinator.com/item?id=8252715
2014-10,424,118294,35.84,8394339,2014-10-01T14:03:04Z,Ask HN: Who is hiring? (October 2014),https://news.ycombinator.com/item?id=8394339
2014-11,419,108293,38.69,8542892,2014-11-01T13:06:13Z,Ask HN: Who is hiring? (November 2014),https://news.ycombinator.com/item?id=8542892
2014-12,565,113463,49.8,8681040,2014-12-01T14:20:15Z,Ask HN: Who is hiring? (December 2014),https://news.ycombinator.com/item?id=8681040
2015-01,330,122670,26.9,8822808,2015-01-01T13:01:59Z,Ask HN: Who is hiring? (January 2015),https://news.ycombinator.com/item?id=8822808
2015-02,637,115276,55.26,8980047,2015-02-01T15:03:27Z,Ask HN: Who is hiring? (February 2015),https://news.ycombinator.com/item?id=8980047
2015-03,677,138486,48.89,9127232,2015-03-01T15:04:12Z,Ask HN: Who is hiring? (March 2015),https://news.ycombinator.com/item?id=9127232
