month,category,value
2013-05,Crypto/Web3,7
2013-05,AI/ML,34
2013-05,Hardware/Robotics,22
2013-05,Security,12
2013-05,Fintech,3
2013-05,Health/Biotech,69
2013-05,Climate/Energy,6
2013-05,Gaming,23
2013-05,Mobile,39
2013-05,Data/Analytics,20
2013-05,Devtools/Infra,19
2013-05,Other,64
2013-06,Crypto/Web3,1
2013-06,AI/ML,29
2013-06,Hardware/Robotics,18
2013-06,Security,14
2013-06,Fintech,8
2013-06,Health/Biotech,51
2013-06,Climate/Energy,5
2013-06,Gaming,25
2013-06,Mobile,34
2013-06,Data/Analytics,4
2013-06,Devtools/Infra,22
2013-06,Other,50
2013-07,Crypto/Web3,3
2013-07,AI/ML,33
2013-07,Hardware/Robotics,16
2013-07,Security,8
2013-07,Fintech,11
2013-07,Health/Biotech,61
2013-07,Climate/Energy,9
2013-07,Gaming,28
2013-07,Mobile,30
2013-07,Data/Analytics,12
2013-07,Devtools/Infra,18
2013-07,Other,59
2013-09,Crypto/Web3,4
2013-09,AI/ML,28
2013-09,Hardware/Robotics,19
2013-09,Security,11
2013-09,Fintech,6
2013-09,Health/Biotech,43
2013-09,Climate/Energy,3
2013-09,Gaming,15
2013-09,Mobile,25
2013-09,Data/Analytics,14
2013-09,Devtools/Infra,19
2013-09,Other,51
2013-11,Crypto/Web3,6
2013-11,AI/ML,37
2013-11,Hardware/Robotics,15
2013-11,Security,7
2013-11,Fintech,13
2013-11,Health/Biotech,68
2013-11,Climate/Energy,6
2013-11,Gaming,14
2013-11,Mobile,39
2013-11,Data/Analytics,23
2013-11,Devtools/Infra,13
2013-11,Other,55
2013-12,Crypto/Web3,6
2013-12,AI/ML,27
2013-12,Hardware/Robotics,15
2013-12,Security,11
2013-12,Fintech,12
2013-12,Health/Biotech,58
2013-12,Climate/Energy,9
2013-12,Gaming,22
2013-12,Mobile,32
2013-12,Data/Analytics,11
2013-12,Devtools/Infra,12
2013-12,Other,47
2014-01,Crypto/Web3,3
2014-01,AI/ML,21
2014-01,Hardware/Robotics,12
2014-01,Security,10
2014-01,Fintech,8
2014-01,Health/Biotech,57
2014-01,Climate/Energy,7
2014-01,Gaming,13
2014-01,Mobile,21
2014-01,Data/Analytics,7
2014-01,Devtools/Infra,16
2014-01,Other,47
2014-02,Crypto/Web3,9
2014-02,AI/ML,42
2014-02,Hardware/Robotics,18
2014-02,Security,9
2014-02,Fintech,13
2014-02,Health/Biotech,78
2014-02,Climate/Energy,7
2014-02,Gaming,29
2014-02,Mobile,33
2014-02,Data/Analytics,17
2014-02,Devtools/Infra,18
2014-02,Other,55
2014-03,Crypto/Web3,7
2014-03,AI/ML,37
2014-03,Hardware/Robotics,17
2014-03,Security,10
2014-03,Fintech,16
2014-03,Health/Biotech,86
2014-03,Climate/Energy,7
2014-03,Gaming,23
2014-03,Mobile,44
2014-03,Data/Analytics,13
2014-03,Devtools/Infra,20
2014-03,Other,56
2014-04,Crypto/Web3,12
2014-04,AI/ML,47
2014-04,Hardware/Robotics,33
2014-04,Security,12
2014-04,Fintech,11
2014-04,Health/Biotech,78
2014-04,Climate/Energy,5
2014-04,Gaming,24
2014-04,Mobile,39
2014-04,Data/Analytics,18
2014-04,Devtools/Infra,27
2014-04,Other,47
2014-05,Crypto/Web3,8
2014-05,AI/ML,45
2014-05,Hardware/Robotics,29
2014-05,Security,17
2014-05,Fintech,22
2014-05,Health/Biotech,95
2014-05,Climate/Energy,13
2014-05,Gaming,33
2014-05,Mobile,42
2014-05,Data/Analytics,14
2014-05,Devtools/Infra,26
2014-05,Other,63
2014-06,Crypto/Web3,5
2014-06,AI/ML,35
2014-06,Hardware/Robotics,27
2014-06,Security,7
2014-06,Fintech,20
2014-06,Health/Biotech,65
2014-06,Climate/Energy,2
2014-06,Gaming,30
2014-06,Mobile,37
2014-06,Data/Analytics,15
2014-06,Devtools/Infra,38
2014-06,Other,62
2014-07,Crypto/Web3,12
2014-07,AI/ML,52
2014-07,Hardware/Robotics,36
2014-07,Security,21
2014-07,Fintech,15
2014-07,Health/Biotech,86
2014-07,Climate/Energy,8
2014-07,Gaming,28
2014-07,Mobile,48
2014-07,Data/Analytics,17
2014-07,Devtools/Infra,38
2014-07,Other,57
2014-08,Crypto/Web3,18
2014-08,AI/ML,60
2014-08,Hardware/Robotics,38
2014-08,Security,17
2014-08,Fintech,20
2014-08,Health/Biotech,117
2014-08,Climate/Energy,6
2014-08,Gaming,48
2014-08,Mobile,42
2014-08,Data/Analytics,19
2014-08,Devtools/Infra,30
2014-08,Other,62
2014-09,Crypto/Web3,12
2014-09,AI/ML,40
2014-09,Hardware/Robotics,23
2014-09,Security,14
2014-09,Fintech,11
2014-09,Health/Biotech,68
2014-09,Climate/Energy,2
2014-09,Gaming,23
2014-09,Mobile,29
2014-09,Data/Analytics,10
2014-09,Devtools/Infra,24
2014-09,Other,23
2014-10,Crypto/Web3,14
2014-10,AI/ML,43
2014-10,Hardware/Robotics,36
2014-10,Security,16
2014-10,Fintech,15
2014-10,Health/Biotech,79
2014-10,Climate/Energy,3
2014-10,Gaming,29
2014-10,Mobile,34
2014-10,Data/Analytics,16
2014-10,Devtools/Infra,25
2014-10,Other,41
2014-11,Crypto/Web3,6
2014-11,AI/ML,46
2014-11,Hardware/Robotics,22
2014-11,Security,14
2014-11,Fintech,20
2014-11,Health/Biotech,78
2014-11,Climate/Energy,6
2014-11,Gaming,24
2014-11,Mobile,35
2014-11,Data/Analytics,16
2014-11,Devtools/Infra,21
2014-11,Other,52
2014-12,Crypto/Web3,16
2014-12,AI/ML,59
2014-12,Hardware/Robotics,35
2014-12,Security,25
2014-12,Fintech,33
2014-12,Health/Biotech,98
2014-12,Climate/Energy,8
2014-12,Gaming,40
2014-12,Mobile,43
2014-12,Data/Analytics,20
2014-12,Devtools/Infra,26
2014-12,Other,60
2015-01,Crypto/Web3,4
2015-01,AI/ML,37
2015-01,Hardware/Robotics,20
2015-01,Security,10
2015-01,Fintech,15
2015-01,Health/Biotech,67
2015-01,Climate/Energy,5
2015-01,Gaming,24
2015-01,Mobile,28
2015-01,Data/Analytics,12
2015-01,Devtools/Infra,14
2015-01,Other,35
2015-02,Crypto/Web3,4
2015-02,AI/ML,63
2015-02,Hardware/Robotics,39
2015-02,Security,28
2015-02,Fintech,27
2015-02,Health/Biotech,113
2015-02,Climate/Energy,11
2015-02,Gaming,31
2015-02,Mobile,39
2015-02,Data/Analytics,32
2015-02,Devtools/Infra,36
2015-02,Other,70
2015-03,Crypto/Web3,9
2015-03,AI/ML,50
2015-03,Hardware/Robotics,28
2015-03,Security,32
2015-03,Fintech,26
2015-03,Health/Biotech,106
2015-03,Climate/Energy,11
2015-03,Gaming,41
2015-03,Mobile,52
2015-03,Data/Analytics,26
2015-03,Devtools/Infra,42
2015-03,Other,82
2015-04,Crypto/Web3,12
2015-04,AI/ML,75
2015-04,Hardware/Robotics,58
2015-04,Security,43
2015-04,Fintech,29
2015-04,Health/Biotech,134
2015-04,Climate/Energy,14
2015-04,Gaming,53
2015-04,Mobile,85
2015-04,Data/Analytics,45
2015-04,Devtools/Infra,64
2015-04,Other,134
2015-09,Crypto/Web3,12
2015-09,AI/ML,85
2015-09,Hardware/Robotics,60
2015-09,Security,34
2015-09,Fintech,27
2015-09,Health/Biotech,136
2015-09,Climate/Energy,16
2015-09,Gaming,58
2015-09,Mobile,74
2015-09,Data/Analytics,35
2015-09,Devtools/Infra,58
2015-09,Other,104
2015-10,Crypto/Web3,10
2015-10,AI/ML,62
2015-10,Hardware/Robotics,58
2015-10,Security,38
2015-10,Fintech,35
2015-10,Health/Biotech,117
2015-10,Climate/Energy,14
2015-10,Gaming,51
2015-10,Mobile,67
2015-10,Data/Analytics,35
2015-10,Devtools/Infra,57
2015-10,Other,77
2015-12,Crypto/Web3,6
2015-12,AI/ML,61
2015-12,Hardware/Robotics,22
2015-12,Security,15
2015-12,Fintech,15
2015-12,Health/Biotech,71
2015-12,Climate/Energy,8
2015-12,Gaming,31
2015-12,Mobile,38
2015-12,Data/Analytics,20
2015-12,Devtools/Infra,32
2015-12,Other,39
2016-01,Crypto/Web3,8
2016-01,AI/ML,55
2016-01,Hardware/Robotics,28
2016-01,Security,25
2016-01,Fintech,14
2016-01,Health/Biotech,85
2016-01,Climate/Energy,9
2016-01,Gaming,31
2016-01,Mobile,30
2016-01,Data/Analytics,16
2016-01,Devtools/Infra,23
2016-01,Other,48
2016-03,Crypto/Web3,15
2016-03,AI/ML,91
2016-03,Hardware/Robotics,56
2016-03,Security,34
2016-03,Fintech,30
2016-03,Health/Biotech,135
2016-03,Climate/Energy,15
2016-03,Gaming,54
2016-03,Mobile,63
2016-03,Data/Analytics,36
2016-03,Devtools/Infra,60
2016-03,Other,77
2016-04,Crypto/Web3,11
2016-04,AI/ML,81
2016-04,Hardware/Robotics,52
2016-04,Security,37
2016-04,Fintech,22
2016-04,Health/Biotech,128
2016-04,Climate/Energy,13
2016-04,Gaming,54
2016-04,Mobile,51
2016-04,Data/Analytics,29
2016-04,Devtools/Infra,49
2016-04,Other,66
2016-05,Crypto/Web3,8
2016-05,AI/ML,108
2016-05,Hardware/Robotics,50
2016-05,Security,39
2016-05,Fintech,25
2016-05,Health/Biotech,135
2016-05,Climate/Energy,14
2016-05,Gaming,53
2016-05,Mobile,63
2016-05,Data/Analytics,27
2016-05,Devtools/Infra,73
2016-05,Other,71
2016-06,Crypto/Web3,15
2016-06,AI/ML,110
2016-06,Hardware/Robotics,55
2016-06,Security,40
2016-06,Fintech,45
2016-06,Health/Biotech,146
2016-06,Climate/Energy,17
2016-06,Gaming,54
2016-06,Mobile,67
2016-06,Data/Analytics,35
2016-06,Devtools/Infra,78
2016-06,Other,108
2016-07,Crypto/Web3,12
2016-07,AI/ML,102
2016-07,Hardware/Robotics,49
2016-07,Security,42
2016-07,Fintech,31
2016-07,Health/Biotech,152
2016-07,Climate/Energy,11
2016-07,Gaming,49
2016-07,Mobile,53
2016-07,Data/Analytics,33
2016-07,Devtools/Infra,64
2016-07,Other,88
2016-08,Crypto/Web3,13
2016-08,AI/ML,119
2016-08,Hardware/Robotics,61
2016-08,Security,42
2016-08,Fintech,33
2016-08,Health/Biotech,155
2016-08,Climate/Energy,9
2016-08,Gaming,52
2016-08,Mobile,60
2016-08,Data/Analytics,32
2016-08,Devtools/Infra,67
2016-08,Other,93
2016-09,Crypto/Web3,15
2016-09,AI/ML,101
2016-09,Hardware/Robotics,52
2016-09,Security,43
2016-09,Fintech,35
2016-09,Health/Biotech,138
2016-09,Climate/Energy,7
2016-09,Gaming,35
2016-09,Mobile,45
2016-09,Data/Analytics,29
2016-09,Devtools/Infra,53
2016-09,Other,89
2016-10,Crypto/Web3,22
2016-10,AI/ML,110
2016-10,Hardware/Robotics,60
2016-10,Security,56
2016-10,Fintech,35
2016-10,Health/Biotech,147
2016-10,Climate/Energy,19
2016-10,Gaming,44
2016-10,Mobile,72
2016-10,Data/Analytics,38
