month,category,value
2013-02,Crypto/Web3,0.49
2013-02,AI/ML,2.3
2013-02,Hardware/Robotics,0.74
2013-02,Security,0.58
2013-02,Fintech,0.41
2013-02,Health/Biotech,3.04
2013-02,Climate/Energy,0.58
2013-02,Gaming,1.23
2013-02,Mobile,2.71
2013-02,Data/Analytics,1.15
2013-02,Devtools/Infra,1.48
2013-02,Other,3.13
2013-03,Crypto/Web3,0.59
2013-03,AI/ML,2.3
2013-03,Hardware/Robotics,1.04
2013-03,Security,0.37
2013-03,Fintech,0.67
2013-03,Health/Biotech,4.39
2013-03,Climate/Energy,0.15
2013-03,Gaming,2.23
2013-03,Mobile,2.68
2013-03,Data/Analytics,1.26
2013-03,Devtools/Infra,1.19
2013-03,Other,4.61
2013-04,Crypto/Web3,0.91
2013-04,AI/ML,2.51
2013-04,Hardware/Robotics,1.07
2013-04,Security,0.91
2013-04,Fintech,0.69
2013-04,Health/Biotech,5.25
2013-04,Climate/Energy,0.61
2013-04,Gaming,2.44
2013-04,Mobile,3.05
2013-04,Data/Analytics,1.29
2013-04,Devtools/Infra,2.06
2013-04,Other,5.33
2013-05,Crypto/Web3,0.53
2013-05,AI/ML,2.57
2013-05,Hardware/Robotics,1.66
2013-05,Security,0.91
2013-05,Fintech,0.23
2013-05,Health/Biotech,5.21
2013-05,Climate/Energy,0.45
2013-05,Gaming,1.74
2013-05,Mobile,2.94
2013-05,Data/Analytics,1.51
2013-05,Devtools/Infra,1.43
2013-05,Other,4.83
2013-06,Crypto/Web3,0.08
2013-06,AI/ML,2.2
2013-06,Hardware/Robotics,1.37
2013-06,Security,1.06
2013-06,Fintech,0.61
2013-06,Health/Biotech,3.87
2013-06,Climate/Energy,0.38
2013-06,Gaming,1.9
2013-06,Mobile,2.58
2013-06,Data/Analytics,0.3
2013-06,Devtools/Infra,1.67
2013-06,Other,3.8
2013-07,Crypto/Web3,0.22
2013-07,AI/ML,2.41
2013-07,Hardware/Robotics,1.17
2013-07,Security,0.58
2013-07,Fintech,0.8
2013-07,Health/Biotech,4.45
2013-07,Climate/Energy,0.66
2013-07,Gaming,2.04
2013-07,Mobile,2.19
2013-07,Data/Analytics,0.88
2013-07,Devtools/Infra,1.31
2013-07,Other,4.3
2013-08,Crypto/Web3,0.43
2013-08,AI/ML,2.31
2013-08,Hardware/Robotics,1.52
2013-08,Security,1.52
2013-08,Fintech,0.65
2013-08,Health/Biotech,4.48
2013-08,Climate/Energy,0.51
2013-08,Gaming,2.74
2013-08,Mobile,2.17
2013-08,Data/Analytics,1.08
2013-08,Devtools/Infra,1.08
2013-08,Other,3.61
2013-09,Crypto/Web3,0.3
2013-09,AI/ML,2.1
2013-09,Hardware/Robotics,1.42
2013-09,Security,0.82
2013-09,Fintech,0.45
2013-09,Health/Biotech,3.22
2013-09,Climate/Energy,0.22
2013-09,Gaming,1.12
2013-09,Mobile,1.87
2013-09,Data/Analytics,1.05
2013-09,Devtools/Infra,1.42
2013-09,Other,3.82
2013-10,Crypto/Web3,0.49
2013-10,AI/ML,2.3
2013-10,Hardware/Robotics,1.67
2013-10,Security,0.91
2013-10,Fintech,1.19
2013-10,Health/Biotech,5.79
2013-10,Climate/Energy,0.77
2013-10,Gaming,2.72
2013-10,Mobile,3.35
2013-10,Data/Analytics,1.47
2013-10,Devtools/Infra,2.16
2013-10,Other,6.7
2013-11,Crypto/Web3,0.43
2013-11,AI/ML,2.63
2013-11,Hardware/Robotics,1.07
2013-11,Security,0.5
2013-11,Fintech,0.92
2013-11,Health/Biotech,4.83
2013-11,Climate/Energy,0.43
2013-11,Gaming,0.99
2013-11,Mobile,2.77
2013-11,Data/Analytics,1.63
2013-11,Devtools/Infra,0.92
2013-11,Other,3.91
2013-12,Crypto/Web3,0.44
2013-12,AI/ML,1.98
2013-12,Hardware/Robotics,1.1
2013-12,Security,0.81
2013-12,Fintech,0.88
2013-12,Health/Biotech,4.25
2013-12,Climate/Energy,0.66
2013-12,Gaming,1.61
2013-12,Mobile,2.34
2013-12,Data/Analytics,0.81
2013-12,Devtools/Infra,0.88
2013-12,Other,3.44
2014-01,Crypto/Web3,0.22
2014-01,AI/ML,1.57
2014-01,Hardware/Robotics,0.9
2014-01,Security,0.75
2014-01,Fintech,0.6
2014-01,Health/Biotech,4.27
2014-01,Climate/Energy,0.52
2014-01,Gaming,0.97
